EID,UTC,Dt,Atotal,TG5time,TL2time,TL3time,TRIGGER,delay,H,EAS,SNRatio_s,SNRatio_n,AbsSignal_s,AbsSignal_n,TotalNoise_s,TotalNoise_n,NNear3,Theta,dt2_s,dt2_n,ng_s,ng_n,Crit1,Crit2
11074,2013-03-09  22:22:26,9,1157,241,240,240,240,43,596.9,1.0,16.524079999999998,12.56252,394.975,348.00699999999995,23.903000000000002,27.701999999999998,19.0,0.3612832,0.9258201,1.591645,21.0,15.0,2.40684232282276,1.315347008914757
11076,2013-03-09  22:24:22,10,1023,238,237,238,237,116,596.7,1.0,75.56267,2.461421,547.376,386.26099999999997,7.244,156.92600000000002,24.0,0.2984513,0.5883484,1.7320509999999998,26.0,15.0,5.102795781093878,30.69879680738357
11078,2013-03-09  22:27:49,9,2838,241,241,241,241,207,599.1,1.0,41.11505,4.223096,1163.9260000000004,866.668,28.309,205.22099999999998,30.0,0.424115,0.6183469,1.936492,34.0,16.0,6.65491409433766,9.735760447199857
11080,2013-03-09  22:29:20,11,503,239,237,470,237,90,597.2,1.0,12.35277,1.1433209999999998,224.351,117.139,18.162,102.455,14.0,0.09424778,0.8401681000000001,1.5583870000000002,17.0,7.0,4.504639182155503,10.804283808519282
11082,2013-03-09  22:32:07,7,1408,242,242,471,242,167,599.0,0.0,1.306215,28.01254,422.162,725.8889999999999,323.195,25.913,22.0,0.1099557,1.148121,1.031421,22.0,47.0,0.4205069052047984,0.04662963168353542
11084,2013-03-09  22:33:10,12,538,470,238,239,238,63,602.4,1.0,2.682769,1.239002,212.808,143.16299999999998,79.324,115.54700000000001,9.0,0.14137170000000002,0.8528029,1.7320509999999998,11.0,5.0,4.468221437802334,2.16526585799711
11086,2013-03-09  22:33:57,7,1769,241,241,241,241,47,602.6,0.0,2.670449,48.13355,622.535,814.9010000000001,233.12,16.93,30.0,0.26703540000000003,2.153222,0.9689043,33.0,49.0,0.303046962047706,0.05547998643079758
11088,2013-03-09  22:35:57,9,556,242,239,240,239,119,597.4,1.0,11.31038,4.024843,322.753,283.039,28.535999999999998,70.32300000000001,16.0,0.14137170000000002,0.6324555000000001,2.0380990000000003,20.0,13.0,4.957719433346573,2.8101422195215218
11090,2013-03-09  22:36:55,16,579,241,238,241,238,57,599.7,1.0,1000.0,1.875132,304.889,172.81400000000002,0.0,92.161,9.0,0.3769911,1.980676,2.081666,13.0,3.0,4.554279784612255,1000.0
11092,2013-03-09  22:39:02,12,827,242,240,240,240,127,600.4,1.0,13.88727,3.939293,413.18800000000005,348.009,29.753,88.34299999999999,21.0,0.1727876,0.7687061,1.748949,22.0,17.0,2.944357752209697,3.5253204916122347
11094,2013-03-09  22:40:21,76,6724,239,236,238,236,79,601.8,1.0,115.0719,0.2293709,3247.6740000000004,560.681,28.223000000000003,2444.429,65.0,0.5811946,1.088905,2.179449,70.0,8.0,17.513170340846994,501.6846820278438
11098,2013-03-09  22:42:48,7,1898,240,240,241,240,40,600.0,0.0,1.13701,32.842040000000004,476.985,877.211,419.50800000000004,26.71,31.0,0.1884956,2.216819,0.7878386,35.0,58.0,0.21446037986303176,0.034620576351527016
11100,2013-03-09  22:43:11,7,2332,240,240,241,240,22,601.5,0.0,1.348572,160.0249,602.117,1034.561,446.485,6.465,25.0,0.1570796,1.741977,0.9507082,29.0,52.0,0.30436834125823703,0.008427260960772159
11104,2013-03-09  22:45:01,11,2002,241,241,241,241,28,602.1,1.0,37.67846,6.681458,997.688,873.928,26.479,130.799,26.0,0.3769911,0.7656415,1.923538,29.0,20.0,3.642866929235158,5.639257666952645
11112,2013-03-09  22:56:22,28,1057,239,238,238,238,30,604.0,1.0,1000.0,0.4648281,545.336,154.963,0.0,333.37699999999995,20.0,0.4869469,1.136515,1.414214,24.0,5.0,5.972844353132162,1000.0
11114,2013-03-09  22:57:10,151,23518,240,240,241,240,48,605.3,0.0,0.00730038,0.022953400000000002,194.578,274.142,26653.13,11943.41,27.0,0.9738937,2.182821,1.414214,34.0,56.0,0.3933579201278659,0.3180521106483201
11116,2013-03-09  22:58:07,16,1058,242,241,242,241,57,606.3,1.0,28.40713,3.684075,582.261,450.63599999999997,20.497,122.32,25.0,0.1570796,0.7319251,2.027588,28.0,18.0,4.309219314623557,7.710792031969812
11118,2013-03-09  22:59:25,16,606,241,239,240,239,78,607.4,1.0,13.40828,1.382158,298.29400000000004,168.322,22.247,121.78200000000001,15.0,0.1727876,1.188177,1.274755,17.0,8.0,2.2798407770896083,9.70097269943153
